posicao_r19,time,pontos,jogos,vitorias,empates,derrotas,saldo_gols,gols_pro,gols_contra
1,Palmeiras,41,18,12,5,1,17,30,13
2,Flamengo,34,17,10,4,3,15,31,16
3,Fluminense,32,19,9,5,5,5,29,24
4,Bragantino,30,19,9,3,7,6,26,20
5,Athletico-PR,30,18,9,3,6,6,24,18
6,Bahia,29,18,8,5,5,4,27,23
7,Coritiba,26,18,7,5,6,0,24,24
8,Sao Paulo,25,18,7,4,7,3,23,20
9,Botafogo,25,18,7,4,7,1,33,32
10,Vitoria,25,18,7,4,7,-3,22,25
11,Atletico-MG,24,18,7,3,8,-1,22,23
12,Corinthians,24,18,6,6,6,-1,18,19
13,Cruzeiro,24,18,6,6,6,-4,24,28
14,Internacional,21,18,5,6,7,-1,21,22
15,Santos,21,19,5,6,8,-4,27,31
16,Gremio,21,19,5,6,8,-4,21,25
17,Vasco,20,19,5,5,9,-8,22,30
18,Mirassol,19,18,5,4,9,-5,20,25
19,Remo,18,18,4,6,8,-8,21,29
20,Chapecoense,9,18,1,6,11,-18,17,35
