posicao_r19,time,pontos,jogos,vitorias,empates,derrotas,saldo_gols,gols_pro,gols_contra,temporada,aproveitamento,distancia_para_16,distancia_para_z4,pontos_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,saldo_por_jogo,posicao_final,rebaixado,risco_rebaixamento,faixa,principais_fatores
20,Chapecoense,9,18,1,6,11,-18,17,35,2026,0.16666666666666666,-12,-11,0.5,0.9444444444444444,1.9444444444444444,-1.0,,,0.9453402945682942,muito alto,"baixa pontuacao, saldo negativo, defesa vulneravel"
19,Remo,18,18,4,6,8,-8,21,29,2026,0.3333333333333333,-3,-2,1.0,1.1666666666666667,1.6111111111111112,-0.4444444444444444,,,0.9101505250516703,muito alto,"saldo negativo, defesa vulneravel, abaixo do 16o colocado"
17,Vasco,20,19,5,5,9,-8,22,30,2026,0.3508771929824561,-1,0,1.0526315789473684,1.1578947368421053,1.5789473684210527,-0.42105263157894735,,,0.8249691421947865,muito alto,"saldo negativo, defesa vulneravel, abaixo do 16o colocado"
18,Mirassol,19,18,5,4,9,-5,20,25,2026,0.35185185185185186,-2,-1,1.0555555555555556,1.1111111111111112,1.3888888888888888,-0.2777777777777778,,,0.8176669123556035,muito alto,abaixo do 16o colocado
15,Santos,21,19,5,6,8,-4,27,31,2026,0.3684210526315789,0,1,1.105263157894737,1.4210526315789473,1.631578947368421,-0.21052631578947367,,,0.7540246303175785,muito alto,defesa vulneravel
16,Gremio,21,19,5,6,8,-4,21,25,2026,0.3684210526315789,0,1,1.105263157894737,1.105263157894737,1.3157894736842106,-0.21052631578947367,,,0.7142074290800943,muito alto,risco relativo pelo conjunto de indicadores
13,Cruzeiro,24,18,6,6,6,-4,24,28,2026,0.4444444444444444,3,4,1.3333333333333333,1.3333333333333333,1.5555555555555556,-0.2222222222222222,,,0.5119102723388044,alto,defesa vulneravel
14,Internacional,21,18,5,6,7,-1,21,22,2026,0.3888888888888889,0,1,1.1666666666666667,1.1666666666666667,1.2222222222222223,-0.05555555555555555,,,0.4894283359330959,moderado,risco relativo pelo conjunto de indicadores
9,Botafogo,25,18,7,4,7,1,33,32,2026,0.46296296296296297,4,5,1.3888888888888888,1.8333333333333333,1.7777777777777777,0.05555555555555555,,,0.26175118536258823,baixo,defesa vulneravel
12,Corinthians,24,18,6,6,6,-1,18,19,2026,0.4444444444444444,3,4,1.3333333333333333,1.0,1.0555555555555556,-0.05555555555555555,,,0.24416847320859023,baixo,risco relativo pelo conjunto de indicadores
11,Atletico-MG,24,18,7,3,8,-1,22,23,2026,0.4444444444444444,3,4,1.3333333333333333,1.2222222222222223,1.2777777777777777,-0.05555555555555555,,,0.20751238788617238,baixo,risco relativo pelo conjunto de indicadores
10,Vitoria,25,18,7,4,7,-3,22,25,2026,0.46296296296296297,4,5,1.3888888888888888,1.2222222222222223,1.3888888888888888,-0.16666666666666666,,,0.17621223151557686,baixo,risco relativo pelo conjunto de indicadores
8,Sao Paulo,25,18,7,4,7,3,23,20,2026,0.46296296296296297,4,5,1.3888888888888888,1.2777777777777777,1.1111111111111112,0.16666666666666666,,,0.07128991195319771,baixo,risco relativo pelo conjunto de indicadores
7,Coritiba,26,18,7,5,6,0,24,24,2026,0.48148148148148145,5,6,1.4444444444444444,1.3333333333333333,1.3333333333333333,0.0,,,0.06848920369137816,baixo,risco relativo pelo conjunto de indicadores
6,Bahia,29,18,8,5,5,4,27,23,2026,0.5370370370370371,8,9,1.6111111111111112,1.5,1.2777777777777777,0.2222222222222222,,,0.05127795985038558,baixo,risco relativo pelo conjunto de indicadores
5,Athletico-PR,30,18,9,3,6,6,24,18,2026,0.5555555555555556,9,10,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,,,0.020221562271889405,baixo,risco relativo pelo conjunto de indicadores
3,Fluminense,32,19,9,5,5,5,29,24,2026,0.5614035087719298,11,12,1.6842105263157894,1.5263157894736843,1.263157894736842,0.2631578947368421,,,0.019301509168983575,baixo,risco relativo pelo conjunto de indicadores
4,Bragantino,30,19,9,3,7,6,26,20,2026,0.5263157894736842,9,10,1.5789473684210527,1.368421052631579,1.0526315789473684,0.3157894736842105,,,0.017164323190873527,baixo,risco relativo pelo conjunto de indicadores
2,Flamengo,34,17,10,4,3,15,31,16,2026,0.6666666666666666,13,14,2.0,1.8235294117647058,0.9411764705882353,0.8823529411764706,,,0.008142787992038943,baixo,risco relativo pelo conjunto de indicadores
1,Palmeiras,41,18,12,5,1,17,30,13,2026,0.7592592592592593,20,21,2.2777777777777777,1.6666666666666667,0.7222222222222222,0.9444444444444444,,,0.005003921822691383,baixo,risco relativo pelo conjunto de indicadores
